,order,grave,add,z,internal_storage,number,warp_size,weft_size,type,item_no,structure,condition,weaving_technique,warp_material,weft_material,warp_dyed,weft_dyed,twist_warp,twist_weft,angle_warp,angle_weft,even (равномерность — фактор),cover factor,selvedge,warp_a,warp_b,warp_thick_mean,weft_a,weft_b,weft_mean,warp_dens,weft_dens,warp_nominal,weft_nominal,threads_labels
219,171.0,196,3.0,0.0,2008-0070-003-23,,110,50,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.5,0.4,52.0,14.0,0.25,0.4,1
221,173.0,196,3.0,0.0,2008-0070-003-25,,220,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.3,0.4,0.35,50.0,10.0,0.25,0.35,1
222,174.0,196,3.0,0.0,2008-0070-003-26,,145,25,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.4,0.3,0.3,0.4,0.35,32.0,14.0,0.3,0.35,1
223,,200,3.0,0.0,2008-0118-002,,140,35,n_band,1,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,10.0,7.0,0.35,0.35,1
224,,200,3.0,0.0,2008-0118-002,,100,35,n_band,2,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,10.0,7.0,0.35,0.35,1
225,,200,3.0,0.0,2008-0118-002,,50,35,n_band,3,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,10.0,7.0,0.35,0.35,1
226,,200,3.0,0.0,2008-0118-002,,150,35,n_band,4,composite,fragment,basket,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,10.0,7.0,0.35,0.35,1
227,175.0,200,0.0,1.0,2008-0118-003,,140,70,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.5,0.35,0.4,0.6,0.5,26.0,10.0,0.35,0.5,1
229,176.0,200,0.0,1.0,2008-0118-006,,720,38,n_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.2,0.3,0.25,0.2,0.3,0.25,42.0,10.0,0.25,0.25,1
238,181.0,200,0.0,1.0,2008-0118-011,,150,80,m_band,0,mono,fragment,tabby,linen,linen,no,no,S,S,medium,medium,,,,0.3,0.4,0.35,0.3,0.4,0.35,32.0,11.0,0.35,0.35,1
